subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,25.134621,98.507324,-28.217745,49.166260,-7.412985,0.000000,0.247122,5.420251,7.187583,3.458785,8.727920,10.470449,11.667153,0.051270,1,1,0,1
1,-15.456402,50.161350,6.548383,61.581680,-24.291927,1.373038,0.423168,14.362261,10.986737,13.373718,16.562499,15.508446,20.538527,0.057617,0,0,0,0
2,22.148438,64.776505,-27.131233,65.224503,-10.764953,1.263382,0.399625,12.511038,5.179898,10.460775,12.429986,10.652190,19.448793,0.113281,1,1,0,0
3,-27.779993,53.560638,-40.958683,61.087212,-14.601234,1.137299,0.402478,21.219800,5.149745,15.769614,11.172367,21.400969,21.366393,0.072266,0,0,0,0
4,-14.802608,63.527039,-52.200752,53.604385,-26.348598,0.915131,0.234727,14.484462,11.212723,11.139621,11.527901,16.939811,22.466997,0.186523,0,0,1,0
5,-36.079525,48.591255,-58.669189,44.858009,-44.599091,0.914047,0.164890,24.364414,13.956404,15.811814,17.291740,23.439398,13.954620,0.258789,0,0,0,0
6,6.655898,96.706161,-29.713139,57.229721,-40.400681,0.744350,0.251418,6.137909,8.486584,10.107041,16.411089,12.161843,12.099898,0.177734,1,1,0,0
7,-17.668844,85.724838,-39.008774,77.968002,-15.872088,0.902393,0.426909,11.030061,9.593097,12.105116,16.020010,10.784070,15.831620,0.050781,0,0,0,1
8,-15.231339,89.954987,-47.011932,71.458313,-34.829063,0.740595,0.311907,9.308945,10.335981,9.808917,13.128295,16.161783,13.007968,0.108398,0,0,1,0
9,-47.994354,71.377136,-78.431259,57.414024,-49.825249,1.016514,0.143445,21.074599,3.650003,19.378195,11.944340,15.526344,15.392466,0.235840,1,0,0,0
10,-17.737057,91.498276,-50.227406,65.075081,-29.697521,1.017985,0.243435,6.674682,12.096291,9.944372,11.818439,11.002228,13.389657,0.202637,0,0,1,1
11,-24.284874,113.541420,-42.947212,75.067902,-30.550968,1.138519,0.427161,21.352563,11.651524,9.623062,13.322608,15.212835,12.881757,0.036133,0,1,0,0
12,-14.690299,95.961105,-30.752167,76.301987,-23.116285,0.815687,0.373980,14.367545,9.039774,10.535139,10.329309,16.103037,17.041349,0.084961,1,0,0,1
13,-3.248048,59.381943,-57.911522,78.079338,-41.976486,0.764710,0.258931,9.830982,13.198447,11.044392,14.000607,14.988811,17.736814,0.247559,0,0,0,0
14,-3.743629,68.362137,-67.253815,59.440819,-30.992311,1.298230,0.219155,8.765112,7.521472,11.389054,11.623958,14.393653,13.741283,0.184570,0,1,0,0
15,-73.512360,105.459213,-65.977699,64.235794,-32.082066,1.444404,0.142851,19.354875,9.051912,15.398501,12.145471,13.130618,14.142098,0.125977,1,0,0,0
16,-69.158089,118.918877,-59.214584,55.608849,-27.328512,0.797860,0.208925,10.981525,10.564314,15.809739,17.764176,11.885083,13.078387,0.096191,0,0,1,1
17,-58.375271,107.923981,-56.424049,84.075027,-0.917192,1.046257,0.408798,16.454499,15.206058,7.888052,17.819744,12.262554,13.457078,0.025391,0,0,0,0
18,1.855072,106.344704,-35.573406,56.792713,-18.268497,0.604913,0.378839,10.318586,8.764382,8.393022,12.013804,16.248492,15.723272,0.056641,1,1,0,0
19,-82.840416,112.403366,-62.719482,72.155609,-19.543488,1.226489,0.349592,19.224039,8.580105,17.053973,16.687082,19.761113,24.451940,0.083008,0,0,0,0
20,-80.561783,114.504715,-64.370628,61.379707,-12.319163,1.033101,0.197136,16.089241,9.452291,10.261433,11.564455,21.023098,23.464885,0.120117,0,0,0,1
21,-113.354324,139.651047,-79.409302,31.798315,-14.784214,1.091674,0.120321,14.657347,5.935642,22.133005,18.647567,12.261524,17.581105,0.087891,0,0,0,0
22,-33.110657,133.877991,-40.260918,46.865257,-17.309040,0.842147,0.267862,7.471938,10.854993,17.026780,12.790347,14.682124,13.399334,0.064941,1,1,0,0
23,-76.548836,142.039093,-35.836220,57.659393,-3.147985,1.163452,0.404911,11.670620,10.703579,11.925406,18.650328,16.754921,18.224157,0.016113,0,0,0,1
24,-55.300056,121.869644,-50.733955,54.603500,-25.439072,0.698592,0.302608,9.817569,13.437403,10.852730,12.300022,16.608424,20.849362,0.042480,0,1,0,0
25,-130.619888,119.772118,-80.547714,19.244328,-15.799288,1.053098,0.093802,11.560683,10.717996,19.703938,21.179803,15.715579,15.814722,0.088379,0,0,0,0
26,-58.428101,134.304306,-46.345627,42.297337,-7.848308,0.953667,0.212035,8.123753,9.129489,7.166542,15.362991,13.107036,15.388939,0.084961,0,0,1,1
27,-63.063942,120.701599,-25.115816,55.196358,-13.793196,1.115913,0.410529,20.774347,8.752200,22.309133,15.995021,14.046599,18.983271,0.020996,0,0,0,0
28,-16.693964,107.377747,-23.910967,61.400002,-23.629063,0.564699,0.360499,13.751582,6.294437,7.061344,11.943787,13.787668,12.798664,0.073730,1,0,0,1
29,-10.314211,60.723511,-59.467751,76.992973,-49.994247,0.791869,0.256346,13.945077,10.141928,26.977860,19.467483,11.825119,17.480453,0.245117,0,0,0,0
30,-15.428724,62.790596,-56.345261,52.091354,-35.945534,1.415998,0.203213,7.884743,6.957413,15.664995,14.386882,12.115584,18.168101,0.185059,0,1,0,0
31,-133.009567,161.790375,-52.126442,16.357698,-10.044565,0.872770,0.132692,22.971679,8.246373,20.490726,12.921156,13.679263,25.180925,0.064453,0,0,1,0
32,-100.987724,136.743195,-37.240173,30.567995,-13.026104,0.625525,0.189961,10.783359,12.744557,13.217081,17.475986,14.206414,19.185042,0.056641,0,1,0,1
33,-77.874878,131.450851,-20.382053,54.032806,-8.462086,0.948282,0.403160,14.672598,5.837159,13.511018,10.549486,15.491399,22.761057,0.020508,0,0,0,0
34,-54.559132,110.864182,-19.279743,58.213051,-21.531851,0.777984,0.373342,25.437375,8.842484,11.561766,11.143203,17.412463,15.237453,0.051758,1,1,0,0
35,-102.721909,118.864479,-48.388111,66.399185,-28.957005,0.492900,0.267515,21.216004,9.071332,16.715002,20.889129,23.762733,24.669191,0.104980,0,0,0,0
36,-80.027061,120.582642,-42.380196,52.274815,-23.317402,1.104679,0.189937,17.074928,12.637786,15.701539,11.395188,21.192323,26.543901,0.118652,0,0,1,0
37,-158.566650,157.815338,-45.322632,9.278320,-21.959263,0.696974,0.116628,17.054590,10.908378,15.883491,24.671478,21.050884,23.645694,0.054688,0,0,0,0
38,-36.297241,134.598877,-31.147472,41.405083,-19.300537,0.544639,0.258857,12.315265,14.933433,14.099676,17.143427,11.683276,15.729868,0.041992,0,0,1,1
39,-102.059441,138.368668,-3.869317,56.433739,-7.833914,0.873983,0.417410,14.407608,11.283347,20.255515,16.564061,17.743098,18.340552,0.009277,0,1,0,0
40,-66.820641,136.296036,-24.361280,51.655422,-29.863819,0.853692,0.300039,9.690079,5.167144,7.761052,18.282878,19.887128,17.891071,0.039551,0,0,0,1
41,-166.781448,121.655655,-46.872879,9.521837,-38.271461,0.644953,0.133202,14.977225,10.392660,19.962325,15.535858,15.720049,14.853002,0.035645,1,0,0,0
42,-55.424587,133.628601,-40.939888,37.004593,-9.649371,1.019060,0.222106,7.286362,9.681932,13.048180,10.586988,10.128732,15.603588,0.064453,0,1,1,0
43,-63.789497,136.041748,-12.447623,56.346706,-30.148417,0.949126,0.429482,18.710263,5.437699,15.766787,18.034616,16.232312,16.051675,0.022949,1,0,0,0
44,-33.730198,100.816406,-3.006381,75.596466,-28.895924,0.582586,0.357440,14.115257,7.831982,11.364826,10.526827,13.452172,12.704943,0.070312,0,1,0,1
45,-9.720980,63.899708,-52.505573,88.995941,-41.122303,0.597436,0.255079,10.467811,8.334540,12.719060,13.516231,12.727550,17.580182,0.241699,0,0,0,0
46,-12.392174,76.196617,-67.563721,56.148598,-38.000656,0.920519,0.210147,8.428869,6.248383,17.397540,13.704560,10.621998,17.669069,0.167969,0,0,1,0
47,-144.995468,164.837555,-41.634895,20.484587,-13.668325,0.962352,0.136324,17.200111,13.853009,15.576380,13.666700,16.561775,19.580642,0.046875,0,0,0,0
48,-98.321350,137.958450,-30.111473,35.606415,-15.120545,0.743956,0.183906,8.975449,14.228932,13.300486,11.363134,16.676403,17.007935,0.052734,0,1,1,0
49,-86.912537,127.996170,-21.033463,57.569321,-16.822557,1.225613,0.399724,15.356950,5.874634,13.127361,12.678854,16.304982,18.437658,0.019531,0,0,0,0
50,-64.974373,111.960098,-7.872381,70.130402,-18.977394,0.779770,0.376740,23.172076,10.778156,12.633983,13.712730,15.162523,11.332087,0.041504,1,1,0,0
51,-107.428932,112.401520,-48.951675,65.489609,-24.659237,0.631263,0.241142,18.090165,12.711481,20.381462,18.595807,23.781671,25.119442,0.111816,0,0,0,0
52,-25.783945,142.844208,-43.633389,57.938099,-16.869362,1.204306,0.283115,8.127481,7.579183,8.185538,7.030232,19.745728,18.761492,0.091797,0,0,1,1
53,-86.517616,133.525635,-5.109330,60.439682,-11.496904,0.888682,0.408065,13.574489,9.741864,17.409531,14.859740,15.597726,19.495508,0.018555,0,0,0,0
54,-9.342167,138.688263,-28.684193,55.508476,-14.646297,0.576832,0.361568,8.636235,5.820818,6.244459,13.517506,14.376008,14.621400,0.030762,0,0,1,1
55,-99.326141,141.123230,-9.950546,56.392117,-11.745538,0.710422,0.419235,12.779419,3.418418,18.068600,19.034138,17.208282,17.340755,0.026367,0,1,0,0
56,-63.896206,130.022217,-39.566006,47.572517,-22.541092,0.715516,0.295779,10.584697,10.398223,12.896497,16.139660,21.155380,20.531207,0.037109,0,0,1,0
57,-169.214432,114.932770,-51.139450,16.115822,-30.860205,0.768743,0.133532,17.283103,10.890682,19.029000,17.469663,16.470569,18.755232,0.035645,0,0,0,0
58,-53.416870,132.426666,-30.482708,40.910496,-11.089062,0.820298,0.221610,7.346257,9.602849,12.179861,10.187423,16.953556,15.761465,0.045410,0,1,0,1
59,-102.639351,140.406738,-9.397192,58.628849,-7.621285,0.682050,0.402195,12.918589,15.211072,12.261310,18.684769,17.047957,21.017062,0.011719,0,0,0,0
60,-17.126904,109.170639,-15.228361,59.691833,-40.101284,0.455430,0.354958,13.607231,10.033200,9.816193,14.363531,14.749073,14.218496,0.075195,1,0,0,1
61,-12.594550,59.866554,-57.457527,80.911934,-47.133114,0.936042,0.257285,17.732578,14.387416,12.593434,17.368937,11.945855,18.194082,0.241699,0,0,0,0
62,-22.332586,68.748909,-60.300152,57.482975,-38.094910,1.145911,0.202802,8.717050,12.741779,12.393140,19.927698,14.384244,21.362542,0.147461,0,1,0,0
63,-168.017548,148.450256,-43.878536,12.891546,-14.943762,0.637316,0.090407,13.913493,10.286361,17.101132,15.022589,16.672127,22.013539,0.051758,0,0,0,0
64,-90.015129,135.712616,-35.572304,39.314476,-9.642282,0.708140,0.203140,11.917074,10.048778,11.817905,10.966575,15.376734,17.509971,0.064941,0,0,1,1
65,-81.565781,133.960220,-19.181597,52.428192,-21.592651,0.970597,0.401609,14.992878,5.048686,15.236700,15.848095,15.616296,19.267640,0.021484,0,0,0,0
66,-56.076988,120.339996,-22.894804,71.090149,-20.170242,0.696949,0.376837,18.012741,7.421913,7.836739,14.601043,14.239748,13.690859,0.040039,1,1,0,0
67,-120.381668,106.849953,-51.389076,62.221581,-20.891405,0.640210,0.239511,21.556003,7.570786,24.999911,17.587541,26.318366,23.878190,0.107422,0,0,0,0
68,-120.262955,115.192116,-55.595695,58.117386,-13.834915,0.896225,0.190903,12.251206,6.803298,14.498250,19.513509,26.285120,26.198161,0.120117,0,0,1,0
69,-169.493271,162.948456,-48.640484,6.132092,-8.035157,0.823743,0.115792,18.575407,10.806896,22.008566,18.534114,18.944581,26.723731,0.053223,0,0,0,0
70,-29.261166,130.295654,-32.440647,42.069328,-9.322532,0.906642,0.244919,7.449304,9.529703,8.748075,10.933661,13.785508,15.963328,0.046875,1,1,0,0
71,-88.521301,139.142853,-16.081980,51.465363,-9.151421,0.835231,0.422856,15.644063,3.033594,13.943352,20.491857,18.259664,18.315739,0.020508,0,0,0,1
72,-54.360237,135.639297,-33.286873,35.879478,-24.556625,0.873431,0.296705,11.149777,5.690906,11.928942,11.877692,18.563662,18.002362,0.038086,0,1,0,0
73,-162.012497,121.291245,-53.401775,9.967159,-30.973099,0.893731,0.136556,17.737669,8.266869,20.885953,20.710237,19.649867,16.611675,0.041504,1,0,0,0
74,-43.755951,137.359329,-35.804764,35.169121,-13.973227,1.085955,0.244088,9.748297,9.630888,13.767232,9.640730,14.677697,16.993471,0.064941,0,0,1,1
75,-100.592392,141.903748,-10.853940,51.434097,-13.212868,0.911938,0.412011,12.427057,7.822771,17.695147,17.389661,21.339045,18.678303,0.020508,0,1,0,0
76,-20.963087,97.120407,-12.144224,71.471962,-20.392048,0.664043,0.357500,15.003778,10.571236,14.757984,21.316537,17.484078,12.591107,0.079590,1,0,1,0
77,-3.977175,69.623947,-55.642876,78.097198,-49.953213,0.731486,0.262910,11.477736,16.625699,14.333863,13.774882,15.330185,20.332737,0.234863,0,0,0,0
78,-19.884504,82.984711,-69.168045,53.007050,-37.685848,0.890150,0.206913,10.502049,8.266765,15.223727,14.254871,16.281920,14.750661,0.157227,0,1,0,0
79,-137.580948,161.393524,-60.725555,10.621765,-14.994985,0.633343,0.153802,11.587113,9.290319,18.169658,16.006858,17.430270,20.496107,0.054688,0,0,0,1
80,-79.663277,145.242523,-29.047987,34.668850,-20.791039,0.670082,0.216056,8.158686,13.127270,12.221876,14.970848,13.902911,16.474746,0.040527,1,1,0,0
81,-77.401741,130.182953,-22.924067,51.237831,-18.051912,1.197424,0.396774,16.412685,5.737433,10.176367,13.256100,21.801930,16.168618,0.022461,0,0,0,0
82,-45.262695,113.224808,-23.804131,54.182617,-17.241703,0.787217,0.367743,16.267625,9.098457,6.810612,12.630045,11.810186,14.020455,0.043945,0,1,1,0
83,-111.730812,118.429245,-60.697491,46.010452,-31.687059,0.674954,0.245432,19.043222,9.820183,20.901253,28.320857,25.170134,27.154815,0.081543,0,0,0,0
84,-114.738541,127.179855,-60.262924,38.558929,-20.515076,0.968558,0.180109,12.108114,7.259424,14.719090,18.289683,25.857921,25.733327,0.098633,0,0,0,1
85,-167.753769,169.009186,-57.899349,-11.283800,-12.549522,0.844736,0.110580,14.220333,9.167393,14.058505,17.073644,18.738109,26.320572,0.053711,0,0,0,0
86,-22.937687,140.312225,-30.996622,40.444527,-25.038874,0.698816,0.254684,7.957166,10.682163,11.521893,12.779307,14.005380,15.516611,0.050781,1,1,0,0
87,-84.932571,144.989136,-11.742476,49.031025,-16.886639,0.674786,0.426966,17.789042,7.395087,16.444224,25.112203,14.816137,15.838929,0.013672,0,0,0,1
88,-52.517418,129.101471,-42.153511,28.946907,-24.536999,0.804992,0.302489,10.979665,12.394243,15.501861,14.399638,15.361256,18.755573,0.036133,0,1,0,0
89,-160.587418,126.396477,-49.433060,6.035059,-40.005219,0.770320,0.137995,9.465494,4.193490,18.661487,23.133882,24.020167,15.642887,0.042969,0,0,0,0
90,-40.281296,142.340347,-28.919767,40.913914,-15.460480,0.914904,0.247496,7.688110,8.563358,10.613525,16.270332,10.251191,11.783951,0.041016,0,0,1,1
91,-93.427368,148.043182,-11.884055,42.172272,-22.408018,1.087532,0.397028,11.890199,12.736188,10.995446,22.923864,14.391274,19.158057,0.018066,0,0,0,0
92,-2.365039,104.318787,-21.501978,56.103889,-37.799202,0.670834,0.353849,13.525915,8.457483,9.156885,12.915562,15.185733,14.910040,0.076172,0,1,1,0
93,-8.113994,70.491455,-56.106518,69.043808,-55.147697,0.908236,0.251656,18.165906,12.666762,13.511175,23.433251,11.235411,12.760639,0.239746,0,0,0,0
94,-25.124491,74.636337,-51.761223,47.013344,-41.133324,1.159165,0.194076,9.914706,14.779072,15.035602,17.871141,13.919008,15.150707,0.128418,1,0,0,0
95,-132.151428,161.104980,-62.684464,19.576832,-5.530992,0.547285,0.133064,9.212630,9.448738,27.565665,14.097725,20.219377,18.520471,0.042969,0,1,0,0
96,-73.118103,140.995987,-33.082680,35.145683,-13.866698,0.817384,0.206240,7.780153,11.972171,13.969467,14.956948,13.781898,13.899460,0.043945,1,0,0,1
97,-66.591843,135.369049,-26.459703,45.720978,-17.111118,1.143218,0.404716,16.482229,7.063042,9.254672,13.146546,14.947967,19.234127,0.025391,0,0,1,0
98,-35.089226,120.161819,-31.542376,51.237030,-21.607803,0.913143,0.359846,18.290604,9.053212,12.968544,14.542619,14.542182,14.728026,0.064941,1,1,0,0
99,-104.795280,130.492981,-47.150848,43.688709,-28.912102,0.497752,0.234512,19.184038,10.034991,18.584917,18.756535,24.549828,20.364217,0.067871,0,0,0,0
100,-115.020775,132.838226,-55.047955,32.410378,-16.676203,0.901464,0.174242,12.791042,7.140853,20.417947,14.305705,22.517182,23.349147,0.086914,0,0,1,0
101,-176.517639,176.562241,-37.864769,-6.237469,-7.585902,0.700224,0.117078,15.146807,12.497467,15.540888,18.626991,17.493870,22.725474,0.041016,0,0,0,0
102,-102.359627,142.931396,-36.811302,19.650167,-14.570404,0.526734,0.210403,17.600954,9.578899,15.275004,16.835423,14.301515,13.782695,0.038086,0,0,1,1
103,-81.465324,144.400574,-7.324652,47.355057,-14.270464,0.822205,0.427454,14.225784,12.785627,19.394300,18.978508,15.843671,13.597285,0.024414,0,1,0,0
104,-49.858559,130.123657,-22.818542,30.986874,-15.693819,0.815980,0.287646,11.692089,10.572904,11.883218,16.849183,17.930935,15.853749,0.028809,0,0,0,1
105,-153.243332,130.678192,-50.810211,6.040684,-34.740364,0.815837,0.149737,10.548362,10.621779,20.951098,28.885252,17.864396,16.349355,0.039062,0,0,0,0
106,-23.691545,140.264084,-30.084347,35.006828,-5.222548,1.031616,0.247189,5.477043,9.124373,8.646019,13.128980,13.262478,14.723102,0.047363,1,0,1,0
107,-74.671181,146.033020,-4.042067,34.554680,-10.694835,0.747001,0.418203,12.069307,7.479023,18.244356,13.738121,11.890955,15.366362,0.016602,0,1,0,0
108,0.700926,110.250511,-17.025799,64.247665,-31.470001,0.623831,0.364775,13.609726,9.006797,10.034972,18.048540,15.840884,12.931770,0.072754,0,0,1,1
109,1.933757,81.645195,-50.932831,72.354012,-52.244209,0.727565,0.244627,15.284558,13.727801,20.961988,12.450396,10.690609,12.769922,0.247559,0,0,0,0
110,-3.588437,90.551453,-54.011719,37.576847,-36.865509,1.032694,0.207106,9.263752,10.148977,11.857785,13.712480,11.959923,15.386118,0.137207,1,0,0,0
111,-152.378555,169.606613,-46.867104,1.502696,-7.796780,1.044091,0.162107,14.708271,19.863298,20.548272,19.107413,15.085294,15.485701,0.042480,0,0,0,0
112,-65.439087,142.503555,-28.411385,35.150520,-16.012810,0.904851,0.224576,8.415538,10.787003,11.592346,13.072567,15.882890,12.636942,0.035156,0,1,1,0
113,-72.503342,133.985504,-19.756798,45.031944,-20.176266,1.005700,0.424276,16.271293,7.193408,22.243758,13.176315,12.636662,16.596178,0.020020,0,0,0,0
114,-26.193871,118.643753,-32.786503,54.060959,-21.217628,0.401070,0.370323,14.724107,12.773674,11.763354,11.601859,12.129302,14.749322,0.062988,1,1,0,0
115,-101.258759,128.856995,-46.317513,33.304314,-29.169514,0.492987,0.230307,20.876836,12.545341,17.700727,20.467840,24.521191,22.545537,0.064453,0,0,0,0
116,-74.418175,131.369385,-50.582661,34.293816,-14.000491,0.798419,0.233518,12.067747,8.109262,13.532004,9.244395,20.141285,15.628606,0.068848,0,0,1,1
117,-75.588943,136.943527,-7.518735,43.851734,-19.830399,0.985727,0.405342,16.267790,7.389849,8.840918,17.917158,16.750114,14.348481,0.027344,0,0,0,0
118,-42.931358,122.533638,-18.488579,52.187172,-16.745052,0.711690,0.366637,9.926963,11.668858,7.989912,22.310778,12.962304,15.889869,0.028809,0,0,1,1
119,-79.071198,139.871124,-15.001049,46.763790,-12.070036,0.769958,0.420770,15.941597,3.747268,16.624695,19.287398,22.963155,15.946562,0.018555,1,0,0,0
120,-30.359104,127.779358,-43.215126,49.278847,-24.189018,0.610260,0.363090,9.774861,7.248260,12.588739,14.308245,13.824327,14.241554,0.034180,0,1,0,0
121,-77.693794,100.065445,-15.924399,72.272369,-20.854279,0.993407,0.442146,13.918341,7.534046,16.586683,27.145662,19.227894,15.207263,0.028320,0,0,0,0
122,-16.933773,142.094986,-35.618408,55.715908,-6.983828,0.934350,0.347311,8.726539,8.803818,8.544081,22.546986,13.605634,15.391664,0.035645,0,0,1,1
123,-93.144333,141.655457,-5.791234,45.060837,-12.368883,0.819198,0.418231,12.688950,13.069615,16.093074,25.138116,16.322353,13.944255,0.021484,0,0,0,0
124,10.640561,113.162628,-13.598314,51.435261,-41.327789,0.608785,0.367069,13.758914,8.900591,8.211467,13.124232,15.345708,17.933010,0.078613,1,0,0,1
125,5.384314,67.094543,-41.630714,65.188934,-47.212070,1.066885,0.265394,11.837771,17.460100,19.927688,17.624058,17.382418,12.506282,0.216309,0,0,0,0
126,20.726788,80.057335,-30.081841,63.918304,-32.865280,0.758788,0.288632,4.882355,12.128343,16.439508,15.562470,11.004894,12.601349,0.169434,1,0,0,1
127,-12.301220,69.090134,-53.803211,80.905479,-45.553185,0.704627,0.265378,11.510422,11.041600,17.814175,14.469277,15.834008,14.703727,0.220703,0,0,0,0
128,43.918667,78.178917,-41.862293,51.294373,-22.108932,1.381837,0.315670,9.687985,5.684359,10.322966,9.859855,10.146342,12.371977,0.192871,1,1,0,1
129,-9.508485,52.006783,4.706972,62.929165,-23.858063,0.975558,0.435391,17.128419,6.801319,12.820199,15.409311,12.383984,17.840021,0.072754,0,0,0,0
130,19.880817,53.896313,-28.237747,68.918716,-9.911133,1.040917,0.391858,44.748964,4.273011,12.329330,14.128822,11.291039,14.990503,0.150391,1,1,0,0
131,-24.623028,51.106003,-39.877434,61.942841,-13.713799,0.584331,0.262708,18.136390,8.349908,14.776599,10.127249,18.362585,19.879233,0.178223,0,0,0,0
132,-17.654423,49.836861,-52.447990,54.604397,-19.779743,0.567717,0.229030,9.098427,9.584448,12.370542,13.059099,17.465765,23.830815,0.207031,0,0,1,0
133,-22.873657,53.195469,-48.692745,59.921810,-31.758377,0.725120,0.179125,10.674240,5.471499,19.852780,18.156296,13.588105,14.957256,0.266113,0,0,0,0
134,-13.339098,77.581299,-39.381477,60.154381,-38.611816,0.690451,0.246105,7.899782,15.167278,10.005730,13.077874,15.928482,12.597740,0.225098,1,1,0,0
135,-12.975452,85.913155,-38.472618,79.639786,-20.704041,0.759114,0.431974,15.853441,10.079959,9.943107,19.579395,12.397528,15.446761,0.062988,0,0,0,1
136,2.847543,60.686253,-38.356117,81.091850,-33.056702,0.398648,0.372714,10.264865,4.461173,14.231140,20.483450,12.574453,12.342118,0.162109,0,0,1,0
137,-41.240086,58.636887,-68.671234,55.424316,-39.036697,0.508038,0.183531,10.616393,9.927939,13.545396,18.006106,13.107648,13.719351,0.249023,1,0,0,0
138,22.202814,103.447769,-36.301586,63.897369,-28.142323,0.567423,0.293081,4.764952,4.966007,8.584116,9.496496,7.521919,9.716087,0.211426,0,0,1,1
139,-27.703726,102.418732,-35.947330,87.582977,-18.857416,0.665611,0.432153,13.700772,12.138981,12.361557,11.558940,12.449377,15.753623,0.034180,0,1,0,0
140,25.205410,89.534286,-25.098997,80.486328,-30.661385,0.723771,0.394692,19.104991,5.724208,12.230264,14.038528,14.451963,14.435892,0.113770,1,0,0,1
141,2.989115,55.379150,-53.961922,76.493164,-32.972107,0.744812,0.267680,7.272733,13.718345,13.738716,16.674554,12.052541,16.865856,0.250000,0,0,0,0
142,-9.885339,75.489349,-63.278725,57.401527,-35.429890,1.057304,0.233137,9.478662,11.831177,14.068191,9.733105,14.473436,16.376816,0.227539,0,1,0,0
143,-78.949387,103.994904,-65.466209,61.074757,-31.932842,0.609570,0.147148,9.218711,12.506979,21.738625,17.379109,11.672468,14.198369,0.134277,1,0,0,0
144,-19.108116,111.995438,-33.835251,67.602264,-21.499424,0.345386,0.261803,5.077132,4.842682,11.869510,19.385374,16.442344,14.856189,0.129883,0,0,1,1
145,-22.960329,83.683853,-34.748466,81.191391,-13.113524,0.863994,0.405840,13.893150,6.606381,9.918657,12.481302,11.559615,11.542522,0.050781,0,0,0,0
146,-9.265281,97.834229,-46.781487,60.011620,-12.238089,0.570187,0.362192,14.073330,6.999744,14.830284,12.214654,11.377828,14.869932,0.071289,1,1,0,0
147,-61.650192,98.377266,-48.715385,72.614471,-25.231068,0.361038,0.258519,13.052292,6.213806,12.505020,15.374855,20.543464,25.579148,0.127930,0,0,0,0
148,-71.155540,97.658997,-69.079491,69.637497,-13.940785,0.566193,0.211103,8.978881,4.987331,11.077700,13.127859,20.027718,21.799529,0.159668,0,0,0,1
149,-66.497047,98.219864,-50.223846,54.231289,-26.157715,0.533494,0.138366,17.636917,8.091993,15.459300,16.525097,11.819013,18.040352,0.125000,0,0,0,0
150,-41.642750,101.529861,-39.117500,50.212608,-26.094082,0.664915,0.257373,8.824300,7.278451,16.749388,8.802512,11.683958,14.276034,0.107422,1,1,0,0
151,-38.711655,110.640640,-25.795246,60.359802,-18.394472,0.781435,0.430816,20.185258,11.941732,15.952361,21.370437,11.886878,14.395960,0.044922,0,0,0,1
152,-48.389767,97.628639,-44.315399,59.021034,-26.187105,0.346885,0.345905,10.565647,10.117171,12.346872,11.476035,15.370425,15.944841,0.093750,0,1,0,0
153,-61.783649,65.986488,-55.186623,43.557968,-46.082939,0.558079,0.157483,13.772856,5.401871,14.191532,14.235031,11.407240,14.146299,0.249512,1,0,0,0
154,-44.156902,82.571564,-44.458542,54.297115,-33.330917,0.659281,0.221660,8.402642,9.041353,11.427984,10.331762,11.744512,14.884655,0.179199,0,0,1,1
155,-48.531151,110.952080,-25.047810,65.606606,-23.480247,0.556753,0.404909,17.127897,6.909849,15.145371,14.517623,11.516525,17.642320,0.035156,0,0,0,0
156,16.002796,97.281052,-23.716921,72.394058,-28.030109,0.614783,0.374712,17.571500,8.205485,8.842840,15.900855,12.536543,16.246060,0.096191,1,0,0,1
157,-2.789993,66.552292,-54.675423,80.276520,-45.530716,0.623999,0.265592,6.000675,7.786886,19.750041,17.089992,13.736859,15.325253,0.271973,0,0,0,0
158,-12.808776,79.896484,-46.915962,59.122070,-32.163872,1.134982,0.226784,6.833929,7.386901,11.575080,15.228050,13.533161,19.252846,0.201172,0,1,0,0
159,-66.553535,92.894089,-18.181950,49.487083,-37.464470,0.388119,0.144642,13.455997,11.175239,21.910816,16.998140,13.329174,14.760541,0.150879,0,0,1,0
160,-25.594809,125.766815,-27.264801,56.120411,-26.873116,0.590740,0.248967,5.331009,5.064889,9.308109,13.202877,10.290055,18.712722,0.080078,1,0,0,1
161,-43.440884,92.456497,-15.372219,71.557404,-21.495949,0.788600,0.402669,13.255011,5.003953,13.510509,11.138853,15.089072,20.601158,0.041992,0,0,1,0
162,-6.376804,105.776573,-36.925163,59.225403,-12.207329,0.685296,0.367156,13.654586,4.727290,11.119865,10.509568,10.943452,15.435310,0.080566,1,1,0,0
163,-78.926849,106.041031,-35.926891,80.607666,-30.966745,0.384928,0.265623,12.341481,9.531702,22.231330,15.332994,22.844174,25.681564,0.117676,0,0,0,0
164,-58.829124,96.950928,-46.791370,64.803833,-20.495228,0.736994,0.223644,8.544145,9.360131,17.494006,12.237122,19.105386,23.443076,0.158203,0,0,1,0
165,-77.717934,104.370499,-13.577537,53.448277,-40.332695,0.408851,0.133422,20.184449,6.973986,12.762548,26.279604,17.617834,17.109737,0.124023,0,0,0,0
166,-66.749916,127.350220,-33.983070,42.336658,-18.843756,0.211490,0.235864,10.055422,9.412282,13.345723,12.762229,10.304814,14.422767,0.064941,0,0,1,1
